X,Y,NAME,ED_DESC,ED_CODE,CON_TYPE,CON_SEATS,PARTY1,CANDIDATE1,VOTE_CNT1,VOTE_PCT1,PARTY2,CANDIDATE2,VOTE_CNT2,VOTE_PCT2,PARTY3,CANDIDATE3,VOTE_CNT3,VOTE_PCT3,TOTAL_VOTE,REJECTED_V,SPOILT_V,REG_VOTERS,PARTY_ELEC
103.82015122165,1.27597866513966,Radin Mas,RADIN MAS,RM,SMC,"1",PAP,Melvin Yong,"16864",74.01,RP,Kumar Appavoo,"5922",25.99,"-","-",,,"22786",,"817","24931",PAP
103.883903249247,1.29795276877623,Mountbatten,MOUNTBATTEN,MB,SMC,"1",PAP,Lim Biow Chuan,"16285",73.82,PV,Sivakumaran Chellappa,"5775",26.18,"-","-",,,"22060",,"584","24246",PAP
103.823058610721,1.30168500696725,Tanjong Pagar,TANJONG PAGAR,TP,GRC,"5",PAP,Alvin Tan | Chan Chun Sing | Eric Chua | Indranee Rajah | Joan Pereira,"78330",63.10,PSP,Abas Kasmani | Harish Pillay | Michael Chua | Terence Soon | Wendy Low,"45807",36.90,"-","-",,,"124137",,"1930","134494",PAP
103.85724248963,1.3002027807408,Jalan Besar,JALAN BESAR,JB,GRC,"4",PAP,Denise Phua | Heng Chee How | Josephine Teo | Wan Rizal Wan Zakariah,"64631",65.36,PV,Leong Sze Hian | Lim Tean | Michael Fang Amin | Nor Azlan Sulaiman,"34261",34.64,"-","-",,,"98892",,"2943","107720",PAP
103.886068281601,1.32402017446938,MacPherson,MACPHERSON,MP,SMC,"1",PAP,Tin Pei Ling,"19009",71.74,PPP,Goh Meng Seng,"7489",28.26,"-","-",,,"26498",,"625","28513",PAP
103.700861083668,1.33820078999534,Pioneer,PIONEER,PI,SMC,"1",PAP,Patrick Tay,"14593",62.00,PSP,Lim Cher Hong,"8289",35.22,IND,Cheang Peng Wah,"655",2.78,"23537",,"350","24653",PAP
103.873900679715,1.33453542566363,Potong Pasir,POTONG PASIR,PS,SMC,"1",PAP,Sitoh Yih Pin,"11264",60.67,SPP,Jose Raymond,"7302",39.33,"-","-",,,"18566",,"278","19731",PAP
103.738196100156,1.3394543577878,Yuhua,YUHUA,YH,SMC,"1",PAP,Grace Fu,"14131",70.54,SDP,Robin Low,"5901",29.46,"-","-",,,"20032",,"406","21351",PAP
103.74718681037,1.34756067398645,Bukit Batok,BUKIT BATOK,BK,SMC,"1",PAP,Murali Pillai,"15500",54.80,SDP,Chee Soon Juan,"12787",45.20,"-","-",,,"28287",,"533","29948",PAP
103.752619504529,1.33160107272747,Jurong,JURONG,JR,GRC,"5",PAP,Rahayu Mahzam | Shawn Huang | Tan Wu Meng | Tharman Shanmugaratnam | Xie Yao Quan,"91846",74.61,RDU,Alec Tok | Liyana Dhamirah | Michelle Lee Juen | Nicholas Tang | Ravi Philemon,"31260",25.39,"-","-",,,"123106",,"2517","131058",PAP
